Text,Label
i keep imagining the worst possible outcome even when things seem fine,Anxiety
my heart races before every phone call even casual ones,Anxiety
i cant stop overthinking what i said in that conversation yesterday,Anxiety
every little noise makes me jump lately,Anxiety
i feel like something bad is about to happen all the time,Anxiety
i constantly secondguess myself even with simple choices,Anxiety
my mind wont stop spiraling especially at night,Anxiety
i worry about things that others seem to ignore,Anxiety
i feel tense all the time like im bracing for something,Anxiety
i hate uncertainty it makes me feel out of control,Anxiety
i dont feel excited about anything anymore,Depression
getting out of bed feels like a chore lately,Depression
ive stopped enjoying the things i used to love,Depression
i feel numb most of the day,Depression
even the smallest tasks feel overwhelming now,Depression
i feel like im just going through the motions,Depression
i dont see the point in trying anymore,Depression
i sleep too much but still feel exhausted,Depression
i feel like a burden to everyone around me,Depression
my appetite has completely changed for no reason,Depression
i get distracted halfway through every task i start,ADHD( Attention deficit hyperactivity disorder)
my mind jumps from one thing to another constantly,ADHD( Attention deficit hyperactivity disorder)
i cant sit still during meetingsit drives me crazy,ADHD( Attention deficit hyperactivity disorder)
i keep misplacing my phone even when its right next to me,ADHD( Attention deficit hyperactivity disorder)
i zone out during conversations without realizing it,ADHD( Attention deficit hyperactivity disorder)
deadlines sneak up on me no matter how hard i try to plan,ADHD( Attention deficit hyperactivity disorder)
i start projects with excitement but rarely finish them,ADHD( Attention deficit hyperactivity disorder)
i interrupt people without meaning toit just blurts out,ADHD( Attention deficit hyperactivity disorder)
i feel like my thoughts are racing in ten directions at once,ADHD( Attention deficit hyperactivity disorder)
i forget what i was about to do the moment i stand up,ADHD( Attention deficit hyperactivity disorder)
some days i feel invincible other days i cant get out of bed,Bipolar Disorder
i go from super productive to totally drained within a week,Bipolar Disorder
i sometimes go on shopping sprees and regret it later,Bipolar Disorder
there are nights i dont sleep and still feel full of energy,Bipolar Disorder
i feel like im either flying or drowningtheres no inbetween,Bipolar Disorder
i talk rapidly and jump between topics when im up,Bipolar Disorder
i feel incredibly creative and inspired then it all disappears,Bipolar Disorder
i cant explain how my energy vanishes for no reason,Bipolar Disorder
i write pages of ideas one week and then hate all of them the next,Bipolar Disorder
i feel overly confident about things i later realize were risky,Bipolar Disorder
i hate when people suddenly change plans on meit really throws me off,Autism Spectrum Disorder (ASD)
i dont always understand sarcasm or jokes,Autism Spectrum Disorder (ASD)
too many noises at once make my brain feel scrambled,Autism Spectrum Disorder (ASD)
i avoid eye contact without even realizing it,Autism Spectrum Disorder (ASD)
group conversations are exhaustingi cant keep up,Autism Spectrum Disorder (ASD)
i memorize scripts for social interactions,Autism Spectrum Disorder (ASD)
bright lights make me super uncomfortable,Autism Spectrum Disorder (ASD)
i get obsessed with one topic for weeks or months,Autism Spectrum Disorder (ASD)
its hard to tell what someone is really feeling from their face,Autism Spectrum Disorder (ASD)
i stim by tapping my fingers or rocking back and forth,Autism Spectrum Disorder (ASD)
i wash my hands until they bleed just to feel clean enough,Obsessive-Compulsive Disorder (OCD)
if i dont check the door three times i panic all day,Obsessive-Compulsive Disorder (OCD)
my thoughts tell me something bad will happen if i dont follow a ritual,Obsessive-Compulsive Disorder (OCD)
i cant step on sidewalk cracks without feeling intense anxiety,Obsessive-Compulsive Disorder (OCD)
i repeat prayers in my head to cancel out bad thoughts,Obsessive-Compulsive Disorder (OCD)
i get stuck counting objects over and over,Obsessive-Compulsive Disorder (OCD)
i rewrite sentences multiple times until they feel right,Obsessive-Compulsive Disorder (OCD)
i have to arrange items symmetrically or i get overwhelmed,Obsessive-Compulsive Disorder (OCD)
i worry ill accidentally hurt someone even though i never would,Obsessive-Compulsive Disorder (OCD)
i clean my room obsessively but never feel satisfied,Obsessive-Compulsive Disorder (OCD)
i hear voices telling me things even when im alone,Schizophrenia
