Text,Label
"I keep imagining the worst possible outcome, even when things seem fine.",Anxiety
"My heart races before every phone call, even casual ones.",Anxiety
I can’t stop overthinking what I said in that conversation yesterday.,Anxiety
Every little noise makes me jump lately.,Anxiety
I feel like something bad is about to happen all the time.,Anxiety
"I constantly second-guess myself, even with simple choices.",Anxiety
"My mind won’t stop spiraling, especially at night.",Anxiety
I worry about things that others seem to ignore.,Anxiety
"I feel tense all the time, like I’m bracing for something.",Anxiety
I hate uncertainty — it makes me feel out of control.,Anxiety
I don’t feel excited about anything anymore.,Depression
Getting out of bed feels like a chore lately.,Depression
I’ve stopped enjoying the things I used to love.,Depression
I feel numb most of the day.,Depression
Even the smallest tasks feel overwhelming now.,Depression
I feel like I’m just going through the motions.,Depression
I don’t see the point in trying anymore.,Depression
I sleep too much but still feel exhausted.,Depression
I feel like a burden to everyone around me.,Depression
My appetite has completely changed for no reason.,Depression
I get distracted halfway through every task I start.,ADHD( Attention deficit hyperactivity disorder)
My mind jumps from one thing to another constantly.,ADHD( Attention deficit hyperactivity disorder)
I can't sit still during meetings—it drives me crazy.,ADHD( Attention deficit hyperactivity disorder)
I keep misplacing my phone even when it's right next to me.,ADHD( Attention deficit hyperactivity disorder)
I zone out during conversations without realizing it.,ADHD( Attention deficit hyperactivity disorder)
Deadlines sneak up on me no matter how hard I try to plan.,ADHD( Attention deficit hyperactivity disorder)
I start projects with excitement but rarely finish them.,ADHD( Attention deficit hyperactivity disorder)
I interrupt people without meaning to—it just blurts out.,ADHD( Attention deficit hyperactivity disorder)
I feel like my thoughts are racing in ten directions at once.,ADHD( Attention deficit hyperactivity disorder)
I forget what I was about to do the moment I stand up.,ADHD( Attention deficit hyperactivity disorder)
Some days I feel invincible; other days I can’t get out of bed.,Bipolar Disorder
I go from super productive to totally drained within a week.,Bipolar Disorder
I sometimes go on shopping sprees and regret it later.,Bipolar Disorder
There are nights I don’t sleep and still feel full of energy.,Bipolar Disorder
I feel like I’m either flying or drowning—there’s no in-between.,Bipolar Disorder
"I talk rapidly and jump between topics when I’m ""up.""",Bipolar Disorder
"I feel incredibly creative and inspired, then it all disappears.",Bipolar Disorder
I can’t explain how my energy vanishes for no reason.,Bipolar Disorder
"I write pages of ideas one week, and then hate all of them the next.",Bipolar Disorder
I feel overly confident about things I later realize were risky.,Bipolar Disorder
I hate when people suddenly change plans on me—it really throws me off,Autism Spectrum Disorder (ASD)
I don’t always understand sarcasm or jokes.,Autism Spectrum Disorder (ASD)
Too many noises at once make my brain feel scrambled.,Autism Spectrum Disorder (ASD)
I avoid eye contact without even realizing it.,Autism Spectrum Disorder (ASD)
Group conversations are exhausting—I can't keep up.,Autism Spectrum Disorder (ASD)
I memorize scripts for social interactions.,Autism Spectrum Disorder (ASD)
Bright lights make me super uncomfortable.,Autism Spectrum Disorder (ASD)
I get obsessed with one topic for weeks or months.,Autism Spectrum Disorder (ASD)
It's hard to tell what someone is really feeling from their face.,Autism Spectrum Disorder (ASD)
I stim by tapping my fingers or rocking back and forth.,Autism Spectrum Disorder (ASD)
"I wash my hands until they bleed, just to feel “clean enough.”",Obsessive-Compulsive Disorder (OCD)
"If I don’t check the door three times, I panic all day.",Obsessive-Compulsive Disorder (OCD)
My thoughts tell me something bad will happen if I don’t follow a ritual.,Obsessive-Compulsive Disorder (OCD)
I can’t step on sidewalk cracks without feeling intense anxiety.,Obsessive-Compulsive Disorder (OCD)
I repeat prayers in my head to cancel out bad thoughts.,Obsessive-Compulsive Disorder (OCD)
I get stuck counting objects over and over.,Obsessive-Compulsive Disorder (OCD)
I rewrite sentences multiple times until they “feel right.”,Obsessive-Compulsive Disorder (OCD)
